Nama,Tanggal_Lahir,Tinggi_Badan,Username,Password,Role,Saldo,Gold
Hizkia Raditya,7/12/2001,165,hiz_radit,D4ybreak07,Admin,0,0
Kevin Domenico,3/5/2001,170,kevin_domenico,kdTantiyo_Daspro05,Admin,0,0
Tanur Rizaldi,5/4/2001,170,tanur_rizal,Tanurs_Daspro05,Admin,0,0
Finna Alivia,26/05/2001,165,finna_alivia,Finnas_Daspro05,Admin,0,0
Nethania Alysia,20/02/2001,163,nee_alysia,IfritisBae,Pemain,50000,0
Adi Wijaya,1/1/2001,169,adi0891,adijayaganteng,Pemain,70000,0
Benjamin Franklin,9/2/1965,175,benFrankThePrez,Thunderkite05,Pemain,20000,0
Hector Salamanca,20/04/1955,180,Tio_Hector,icecreamshop77,Pemain,40000,0
Walter White,25/09/1975,177,Heisenberg,Methylamine,Pemain,50000,0
Jesse Pinkman,17/06/1989,173,ScienceKid08,YeahM4gnets,Pemain,70000,0
Gustavo Frings,25/03/1970,170,PollosHermanos_Manager,LosPollosHermanos,Pemain,55000,0
Saul Goodman,19/11/1985,175,akaBestLawyer,JimmyMcGill98,Pemain,45000,0
Willy Wangky,24/02/1988,175,Wangkypro,cokelatenakno1,Admin,0,0
Theodore Roosevelt,19/01/1978,178,DaRoosevelt,myHorseIsBetterThanYou,Pemain,50000,0
Thor,12/10/1999,190,GodOfThunder,Point*break,Pemain,80000,0
~~~,,,,,,,
